Title,Year,Running time,Country,Language,Release date,Box office,Genre,Imdb Rating
Academy Award Review of ,1937,42,USA,English,1937/5/19,45472,Comedy,7.1
Snow White and the Seven Dwarfs,1937,83,USA,English,1937/12/21,418000000,Family,7.6
Pinocchio,1940,88,USA,English,1940/2/7,164000000,Comedy,7.4
Fantasia,1940,126,USA,English,1940/11/13,76400000,Fantasy,7.7
The Reluctant Dragon,1941,74,USA,English,1941/6/27,960000,Comedy,6.8
Bambi,1942,70,USA,English,1942/8/9,267400000,Drama,7.3
Saludos Amigos,1942,42,USA,English,1942/8/24,1135000,Musical,6.1
Victory Through Air Power,1943,70,USA,English,1943/7/17,799000,Documentary,6.5
The Three Caballeros,1944,71,USA,English,1944/12/21,3355000,Comedy,6.4
Make Mine Music,1946,75,USA,English,1946/4/20,3275000,Comedy,6.2
Song of the South,1946,94,USA,English,1946/11/12,65000000,Comedy,7.1
Fun and Fancy Free,1947,73,USA,English,1947/9/27,3165000,Comedy,6.5
Melody Time,1948,75,USA,English,1948/5/27,2560000,Comedy,6.3
So Dear to My Heart,1948,82,USA,English,1948/11/29,3700000,Drama,6.8
The Adventures of Ichabod and Mr. Toad,1949,68,USA,English,1949/10/5,1625000,Fantasy,6.9
Treasure Island,1950,96,USA,English,1950/6/22,4100000,Family,6.9
The Story of Robin Hood,1952,84,USA,English,1952/3/13,2100000,Action,6.7
Peter Pan,1953,77,USA,English,1953/2/5,87400000,Family,7.3
The Sword and the Rose,1953,92,USA,English,1953/7/23,1000000,Drama,6.4
The Living Desert,1953,69,USA,English,1953/11/10,2600000,Documentary,7.5
The Vanishing Prairie,1954,71,USA,English,1954/8/17,1750000,Documentary,7.3
"20,000 Leagues Under the Sea",1954,127,USA,English,1954/12/23,28200000,Drama,7.2
Davy Crockett: King of the Wild Frontier,1955,92,USA,English,1955/5/25,2150000,Drama,7
Lady and the Tramp,1955,76,USA,English,1955/6/22,187000000,Comedy,7.3
